Folder,H2O_mol_pre_REACT,H2O_mol_pre_PROD,H2O_mol_NEB,react_freq,prod_freq,Opt_method,N_images,CI_image,inter_min,OPT_TS,Freq_TS,N_imm_freq,Freq_imm_TS,react_to_prod,prod_to_react,BE0_post_react,BE0_post_prod,r_to_p_barrier,react_to_prod_ZPE,p_to_r_barrier,prod_to_react_ZPE,Distance
13_271,9,9,12.0,Real,Real,FIRE,5,3,False,False,True,1,-91.25,13.484720184841308,18.42194353162313,26.19055063869032,30.199697534239853,13.47248,10.889991044837643,18.4096,15.14487319648265,3.4980285080635625
13_432,9,9,10.0,Real,Real,FIRE,5,3,False,True,True,1,-133.37,16.89140101502653,16.897491681985912,26.26086779516416,26.10418025020715,17.82384,12.836815109765666,17.82384,12.545147821023193,1.8345245923467075
14_106,10,2,9.0,Real,Real,FIRE,5,2,True,False,False,0,0.0,13.355281128715887,4.491793634972055,25.050689396342136,16.2146208917839,13.34696,12.467048223221354,4.4768799999999995,1.764319214730449,4.966890827310615
14_274,10,6,11.0,Real,Real,FIRE,5,4,False,False,True,1,-76.6,16.993857881672966,16.719186260896777,24.321267014804334,21.94607173904992,16.98704,14.755435346656212,16.69416,12.522534551063243,3.0470387048061256
14_436,10,6,10.0,Real,Real,FIRE,5,4,False,False,True,1,-117.81,6.87941103668345,2.5617120023184725,24.32953341277723,21.18801858093528,6.861759999999999,6.106595112007881,2.5522399999999994,1.2986364620569475,1.8285844451888704
15_84,1,7,6.0,Real,Real,LBFGS,5,4,True,False,True,1,-135.57,4.785608327781006,13.051959675567788,9.5779718547978,18.18077870411714,4.76976,3.163968253129269,13.05408,11.858617415703293,4.242860084270638
15_207,1,6,6.0,Real,Real,FIRE,5,3,False,False,True,1,-77.81,4.510163594380288,5.243074615548835,8.815150856895343,9.464928935881924,4.51872,3.385478159357376,5.27184,4.430876190674212,4.588444404758887
16_115,6,6,9.0,Real,Real,FIRE,5,2,False,False,True,1,-79.24,0.6742870844673234,10.328360356828853,18.070803648186732,26.597201071279624,0.66944,-2.1873766400683508,10.33448,6.16710038641645,4.129392038253176
16_178,6,6,9.0,Real,Real,FIRE,5,3,True,False,True,1,-155.53,8.314521794859957,7.462048580541705,18.34457796525392,18.586147148894092,8.32616,6.138376120294879,7.48936,5.8112129460114375,2.6977180131895664
16_208,6,5,6.0,Real,Real,FIRE,5,3,False,False,True,1,-100.93,10.537828168712052,7.199011154344589,16.63259792431849,14.909148439461838,10.54368,8.761178574069618,7.196479999999999,6.027434289732582,2.131309324625259
17_28,8,6,10.0,Real,Real,FIRE,5,2,False,False,False,0,0.0,9.895301762732515,20.103464323343132,16.667542638902514,28.23785309390735,9.87424,7.932294177109952,20.0832,17.246080162725093,4.257404805581349
17_281,8,6,10.0,Real,Real,FIRE,5,2,False,False,True,1,-47.64,2.653986044749672,8.172960254077452,19.58306254924286,23.002320517681788,2.63592,1.8147449693165072,8.158800000000001,6.992692984436644,4.69641417304829
18_64,4,6,9.0,Real,Real,FIRE,5,4,False,True,True,1,-88.2,22.22752493651251,8.561031888863454,24.781587825667717,12.868713071718728,25.48056,15.149570760891493,11.79888,5.438656013463742,3.768509857200041
18_66,4,5,9.0,Real,Real,FIRE,5,3,False,False,True,1,-155.45,25.013523053904464,11.906403466300162,25.613315877220195,17.280965286088644,25.02032,17.67958262878051,11.924400000000002,5.305397621152451,4.269260145011413
18_122,4,6,8.0,Real,Real,FIRE,5,2,True,False,True,1,-67.27,14.229359469265203,14.547971387354323,26.47888732331394,25.025537171921833,14.2256,9.087343974582836,14.56032,9.782137532605702,5.009192759187781
18_150,4,8,10.0,Real,Real,FIRE,5,4,False,False,True,1,-228.36,27.633703617262427,27.40769974250543,27.050422193141888,28.32446354096882,27.6144,20.20844830312717,27.4052,21.680066473600164,2.88009542939077
19_121,9,10,14.0,Real,Real,FIRE,5,2,False,False,True,1,-68.95,6.692083295476323,13.759862220038258,11.595621799940115,17.682777063289613,6.694400000000001,4.087429765360412,13.76536,9.006762039944078,4.629264997132254
19_287,9,6,7.0,Real,Real,FIRE,5,3,False,False,True,1,-51.83,7.187786076155362,3.240729917921726,9.74363165016024,8.820757094431267,7.19648,5.3375699710599065,3.26352,1.2080940731793817,2.13255210279273
19_345,9,6,11.0,Real,Real,FIRE,5,2,False,False,True,1,-71.56,3.7722181955782617,17.881078848502966,13.094231870603076,23.871483929486523,3.7656,2.830661385466101,17.86568,12.647144598434808,3.2091125474519764
19_449,9,10,12.0,Real,Real,FIRE,5,2,False,False,False,0,0.0,1.569006272246952,16.41339165469185,12.220924475657414,23.998615956493033,1.54808,1.031618932182937,16.40128,12.385953418878898,2.6587214224863667
20_210,8,6,7.0,Real,Real,FIRE,5,6,False,False,False,0,0.0,14.544262776490086,0.0004921811257645,20.15879329502815,5.422055018597842,14.56032,13.135892066183487,0.0,0.0597234609523411,3.5155438373515757
21_29,4,9,9.0,Real,Real,FIRE,5,1,False,False,False,0,0.0,4.459004544444042,0.1933747087989559,20.703087049671417,20.18444535752765,4.47688,5.000802724425284,0.2092,1.643464613471906,4.883006462801289
21_345,4,6,6.0,Real,Real,FIRE,5,4,True,False,True,1,-130.9,8.689254566329396,15.622982842931831,18.97926742715156,23.791319114027864,8.702720000000001,6.696972656064304,15.64816,11.975218162733311,3.484711241197274
21_444,4,4,5.0,Real,Real,FIRE,5,3,False,False,True,1,-186.13,19.444015665313827,20.44287363736953,19.83762383597064,21.325749718903335,19.455600000000004,16.4443556599565,20.459760000000003,17.58903390247383,2.842991201942476
21_449,4,10,9.0,Real,Real,FIRE,5,3,False,False,True,1,-122.97,13.675709992985048,18.95405033543625,19.806483501985404,22.77776470686568,13.68168,10.676023732905378,18.95352,15.463343065659046,4.234627915670528
22_24,11,6,13.0,Real,Real,FIRE,5,5,True,False,False,0,0.0,7.037730504682941,0.4122966557645213,16.750358076675795,11.703711564509334,7.02912,8.901074108849798,0.4183999999999992,-0.0662532294868469,4.217108028386655
22_53,11,8,14.0,Real,Real,FIRE,5,3,False,True,True,1,-79.38,3.882760315603491,6.66865543425115,18.669210598798905,22.35402730804709,4.85344,3.00736610544368,7.65672,3.9670421889293266,1.6075245642042597
22_132,11,4,11.0,Real,Real,FIRE,5,2,False,False,True,1,-135.81,9.317868834921228,1.7758075350157014,18.345937339039523,11.083034829272938,9.33032,7.595094500632285,1.7991200000000005,-0.8030635843474556,3.275319691082718
22_139,11,2,11.0,Real,Real,FIRE,5,4,False,False,False,0,0.0,6.601110373328083,0.6791746941435122,18.34600001992964,7.867039503329328,6.610720000000001,7.640283273868363,0.6694400000000007,-0.2034396410726913,4.232429941904021
22_164,11,7,14.0,Real,Real,FIRE,5,2,False,True,False,0,0.0,1.311320470632836,13.912639817605625,17.99600191354115,26.088057538465847,7.656720000000001,0.5129321753711338,20.25056,9.330643473031614,3.2998787081314727
22_186,11,2,11.0,Real,Real,FIRE,5,3,False,False,True,1,-117.02,8.917593707899414,2.044498757472411,18.34304052194412,7.550707645772357,8.91192,8.927990687789588,2.050160000000001,0.086007033044325,4.214999421108989
22_326,11,11,19.0,Real,Real,FIRE,5,1,True,True,True,1,-46.38,1.588381138614977,17.056599759940354,16.040955584401097,18.921118049642367,6.65256,1.722491677548078,22.133360000000003,13.109239274969925,4.084712644252669
23_169,4,11,11.0,Real,Real,FIRE,5,2,False,False,True,1,-79.38,3.6859024277737262,12.11543378365036,3.534710636585874,10.76873228022374,3.68192,2.4882806027976585,12.09176,9.423876203246436,3.918648081601636
23_239,4,8,10.0,Real,Real,FIRE,5,4,False,False,True,1,-46.34,5.389627221433557,9.096263981277616,4.431116952157231,13.702193941210124,5.39736,2.6175193016031244,9.12112,7.517367046506024,4.777226588730264
23_242,4,9,10.0,Real,Real,FIRE,5,3,False,True,True,1,-5.33,3.3102253381755418,6.984639488645826,4.403179493118418,9.75872127490119,4.26768,1.471666452179079,7.9496,5.342940593006006,4.598419633463115
23_294,4,4,6.0,Real,Real,FIRE,5,2,False,False,False,0,0.0,1.3476842830896203,6.713421447954488,2.9439150761934068,8.845548249853824,1.33888,0.8656687380738504,6.6944,6.12176502312002,2.6011201608727625
23_299,4,5,6.0,Real,Real,FIRE,5,4,False,True,True,1,-77.02,2.4421016701384133,8.817135716301891,3.10620904881707,9.023517730510305,3.7656,0.7903208548583507,10.12528,7.015727656420495,2.5895825688464464
23_458,4,4,7.0,Real,Real,FIRE,5,2,False,False,False,0,0.0,3.1431571430097165,6.9255777845964985,3.5441746113443244,6.4725123892521585,3.138,2.6311846434068684,6.9036,5.42964664997362,4.746645265282485
24_72,6,7,10.0,Real,Real,FIRE,5,2,False,False,True,1,-108.68,7.919981669870367,12.98068603335696,15.29217971215029,19.936580653165898,7.90776,6.036579245312396,12.9704,6.793852813730609,5.000703853122426
24_135,6,2,6.0,Real,Real,FIRE,5,3,False,True,True,1,-78.85,12.79905406134094,2.014956523625642,14.74480953082621,4.761002533303615,13.72352,11.353191211140938,2.928799999999999,0.5292648387679719,4.5086476950294365
24_139,6,2,6.0,Real,Real,FIRE,5,3,False,False,True,1,-88.38,7.625226580425874,0.2330472144344639,13.3203127660501,8.145374302121382,7.61488,6.594218985691782,0.2092,-0.0362765755004375,2.648738008733518
24_186,6,2,6.0,Real,Real,FIRE,5,4,False,False,True,1,-116.12,9.840040824339212,2.7672855881813803,13.312853292314632,7.840744775020044,9.832400000000002,8.68605480935446,2.7614400000000012,2.1180256930207406,2.756861238944588
25_115,4,6,7.0,Real,Real,FIRE,5,3,False,False,True,1,-151.79,11.436004399000126,22.02387999580867,16.38750519399366,27.601980488803164,11.42232,7.184532249257245,22.00784,18.11419543617592,3.095716040946211
25_136,4,4,5.0,Real,Real,FIRE,5,4,False,False,True,1,-52.83,14.219390968473364,0.4502523562708802,18.795996216243037,7.487576183237629,14.2256,11.447755639017828,0.4602399999999988,-0.945069618534376,5.023191206752117
25_178,4,6,8.0,Real,Real,FIRE,5,4,True,False,False,0,0.0,7.600467553438534,5.827527760614657,17.094961352508804,17.781605691707146,7.61488,4.736677173111275,5.857600000000001,4.173620290139979,3.7881628082208056
25_250,4,6,7.0,Real,Real,FIRE,5,3,False,False,True,1,-210.03,17.622756168096316,10.57786648775766,19.479983484547695,15.265268143255224,17.61464,13.609731928270776,10.585520000000002,5.02057565787311,2.963573835733033
25_429,4,4,6.0,Real,Real,FIRE,5,2,False,False,False,0,0.0,8.348392709490895,9.7905586243578,17.046018753349514,20.40792117732172,8.368,6.267946509132003,9.79056,8.094065544127943,4.589939173382396
26_78,7,5,10.0,Real,Real,FIRE,5,3,False,False,True,1,-255.57,32.64696082500973,23.0210377620715,27.558201839245925,16.50444324513068,32.6352,28.6191550206961,23.012,17.334913647365966,2.735765292241516
28_281,6,6,9.0,Real,Real,FIRE,5,3,False,True,True,1,-121.53,17.334032624131396,3.6731190786831576,30.071781633582606,22.640553681036835,24.81112,16.098524833651027,11.12944,1.9674104942018855,4.296570002821323
28_341,6,10,13.0,Real,Real,FIRE,5,4,False,False,True,1,-67.07,28.933523361388097,7.562653185481395,28.64383209683024,11.96444631155406,28.91144,24.19572984679553,7.531200000000002,6.151158130979638,4.746752566354414
30_67,5,6,9.0,Real,Real,FIRE,5,3,False,False,True,1,-107.66,1.796579048739659,13.2446705279217,6.685424444523064,18.53180986608303,1.79912,1.6565873887229827,13.263280000000002,10.99692746857022,4.260812960846477
30_126,5,6,6.0,Real,Real,FIRE,5,2,False,False,True,1,-224.1,2.794015861271305,18.930116754412097,7.304575507273165,20.427617473778945,2.8032800000000004,-0.3189607238357439,18.95352,13.394039964044168,2.5834754985015778
31_84,4,7,8.0,Real,Real,FIRE,5,3,False,False,False,0,0.0,2.6795889598815847,11.788212950462594,8.54598191860239,17.746138952199065,2.67776,1.7967645850957297,11.79888,10.92119408567862,4.268558980316028
